CODE;MATSTA;STAGE;ENGBLK;ENGREL;MRPCTRL;SMAD;SMADPER;PMAD;PMADPER;CUSTCLASS;LAG;FWSHIP;VS;COALESCE(D.YOURREF,'')
1879131/1000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/2000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/3000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/4000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/5000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/6000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/7000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/8000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/9000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/10000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/11000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/12000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/13000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/14000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/15000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/16000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/17000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/18000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/19000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/20000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/21000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/22000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/23000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/24000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/25000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/26000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/27000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-07-27;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/28000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-07-27;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/29000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-07-27;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/30000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-07-27;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/31000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-07-27;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/32000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-07-27;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/33000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-08-03;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/34000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-08-03;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/35000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-08-03;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/36000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-08-03;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/37000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-08-03;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/38000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-08-03;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/39000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-08-10;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/40000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-08-10;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/41000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-08-10;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/42000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-08-10;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/43000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-08-10;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/44000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/45000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/46000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/47000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/48000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/49000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/50000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/51000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/52000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/53000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/54000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/55000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/56000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/57000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/58000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/59000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/60000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/61000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/62000;P1P1P1;Purchase Ordered;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/63000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/64000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/65000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/66000;P1P1P1;Purchase Ordered;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/67000;P1P1P1;Purchase Ordered;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/68000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/69000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/70000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-07-27;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/71000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-08-03;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/72000;P1P1P1;Purchase Confirmed;;;C12. Bazin, Sandrine;2026-08-10;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/73000;P1P1P1;Purchase Ordered;;2026-02-20;C12. Bazin, Sandrine;2026-07-27;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/74000;P1P1P1;Purchase Ordered;;2026-02-20;C12. Bazin, Sandrine;2026-08-03;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/75000;P1P1P1;Purchase Confirmed;;2026-02-20;C12. Bazin, Sandrine;2026-08-10;;2026-08-24;;Public;4;26W35;Aftermarket;SDR WF#66770
1879131/76000;P1P1P1;Purchase Ordered;;;C35. Daligault, Gildas;2026-08-03;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879131/77000;P1P1P1;Purchase Ordered;;;C35. Daligault, Gildas;2026-08-10;;2026-08-20;;Public;4;26W34;Aftermarket;SDR WF#66770
1879160/1000;P1P1P1;Purchase Ordered;;2026-02-22;C24. Bazin, Sandrine;2026-07-13;;2026-09-09;;Public;4;26W37;Commercial;14 weeks
1879160/2000;P1P1P1;Purchase in Transit;;2026-02-22;C02. Jacquelin, Estelle;2026-07-13;;2026-09-09;;Public;4;26W37;Commercial;14 weeks
1879195/1000;P1P1P1;Production Released;;2026-02-19;C12. Bazin, Sandrine;2026-06-19;;2026-06-26;;Public;4;26W26;Aftermarket;SDR WF#66439
1879230/1000;P1P1P1;Production Planned;;2026-03-02;C10. Jacquelin, Estelle;2026-06-18;;2026-07-09;;Public;13;26W29;Commercial;SDR WF#66805
1879230/2000;P1P1P1;Production Released;;2026-03-02;C10. Jacquelin, Estelle;2026-06-18;;2026-07-09;;Public;13;26W29;Commercial;SDR WF#66805
1879230/3000;P1P1P1;Production Released;;2026-03-02;C10. Jacquelin, Estelle;2026-06-18;;2026-07-09;;Public;13;26W29;Commercial;SDR WF#66805
1879230/4000;P1P1P1;Production Planned;;2026-03-02;C10. Jacquelin, Estelle;2026-06-17;;2026-07-09;;Public;13;26W29;Commercial;SDR WF#66805
1879576/1000;P1P1P1;Purchase Confirmed;;2026-02-13;C33. Masse, Mickael;2026-08-10;;2026-08-25;;Public;6;26W35;Commercial;28Weeks
1879687/1000;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Public;25;CHARGES;Commercial;SDR WF#66681
1879687/2000;P1P1P1;Purchase Confirmed;;2026-03-09;C30. Masse, Mickael;2026-08-21;;2026-09-04;;Public;25;26W38;Commercial;SDR WF#66681
1879687/3000;P1P1P1;Purchase Confirmed;;2026-03-09;C30. Masse, Mickael;2026-08-21;;2026-09-04;;Public;25;26W38;Commercial;SDR WF#66681
1879712/1000;P1P1P1;Customer Stock;;2026-02-16;C24. Bazin, Sandrine;2026-05-04;;2026-05-18;;Public;25;26W32;Commercial;SDR WF#66379
1879712/2000;P1P1P1;Customer Stock;;2026-02-16;C25. Bazin, Sandrine;2026-06-15;;2026-06-25;;Public;25;26W32;Commercial;SDR WF#66379
1879712/3000;P1P1P1;Customer Stock;;2026-02-16;C24. Bazin, Sandrine;2026-05-04;;2026-05-18;;Public;25;26W32;Commercial;SDR WF#66379
1879712/4000;P1P1P1;Customer Stock;;2026-02-17;C25. Bazin, Sandrine;2026-06-18;;2026-06-25;;Public;25;26W32;Commercial;SDR WF#66379
1879712/5000;P1P1P1;Production Released;;2026-02-20;C26. Bazin, Sandrine;2026-06-15;;2026-06-25;;Public;25;26W32;Commercial;SDR WF#66379
1879712/6000;P1P1P1;Purchase Confirmed;;2026-03-01;C23. Masse, Mickael;2026-09-07;;2026-09-21;;Public;25;26W40;Commercial;SDR WF#66379
1879712/7000;P1P1P1;Production Released;;2026-02-16;C92. Daligault, Gildas;;;;;Public;25;26W32;Commercial;SDR WF#66379
1879712/8000;P1P1P1;Customer Stock;;2026-02-17;C26. Bazin, Sandrine;2026-06-15;;2026-06-25;;Public;25;26W32;Commercial;SDR WF#66379
1879712/9000;P1P1P1;Purchase Confirmed;;2026-02-23;C26. Bazin, Sandrine;2026-09-07;;2026-09-21;;Public;25;26W40;Commercial;SDR WF#66379
1879712/10000;P1P1P1;Customer Stock;;2026-02-17;C25. Bazin, Sandrine;2026-06-19;;2026-07-02;;Public;25;26W32;Commercial;SDR WF#66379
1879712/11000;P1P1P1;Available in Stock;;;C35. Daligault, Gildas;2026-06-25;;2026-06-25;;Public;25;26W32;Commercial;SDR WF#66379
1880007/1000;P1P1P1;Shipping;;2026-03-09;C25. Bazin, Sandrine;2026-06-22;;2026-06-22;;Public;4;26W26;Commercial;SDR WF#66705
1880178/1000;P1P1P1;Customer Stock;;2026-03-18;C02. Jacquelin, Estelle;2026-06-19;;2026-07-28;;Public;13;26W33;Commercial;24Weeks
1880178/2000;P1P1P1;Production Released;;2026-03-18;C02. Jacquelin, Estelle;2026-06-24;;2026-07-28;;Public;13;26W33;Commercial;24Weeks
1880178/3000;P1P1P1;Production Released;;2026-03-18;C02. Jacquelin, Estelle;2026-06-24;;2026-07-28;;Public;13;26W33;Commercial;24Weeks
1880442/1000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-04-10;;2026-05-07;;Public;13;26W27;Commercial;8 Weeks
1880442/2000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-04-15;;2026-05-07;;Public;13;26W27;Commercial;8 Weeks
1880442/3000;P1P1P1;Production Released;;2026-02-27;C10. Jacquelin, Estelle;2026-06-24;;2026-06-24;;Public;13;26W27;Commercial;8 Weeks
1880442/4000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-04-10;;2026-05-07;;Public;13;26W27;Commercial;8 Weeks
1880442/5000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-06-15;;2026-06-15;;Public;13;26W27;Commercial;8 Weeks
1880442/6000;P1P1P1;Production Released;;2026-02-27;C10. Jacquelin, Estelle;2026-06-22;;2026-06-22;;Public;13;26W27;Commercial;8 Weeks
1880442/7000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-04-10;;2026-05-07;;Public;13;26W27;Commercial;8 Weeks
1880442/8000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-04-10;;2026-05-07;;Public;13;26W27;Commercial;8 Weeks
1880442/9000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-04-10;;2026-05-07;;Public;13;26W27;Commercial;8 Weeks
1880442/10000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-04-10;;2026-05-07;;Public;13;26W27;Commercial;8 Weeks
1880442/11000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-04-10;;2026-05-07;;Public;13;26W27;Commercial;8 Weeks
1880442/12000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-04-10;;2026-05-07;;Public;13;26W27;Commercial;8 Weeks
1880442/13000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-04-17;;2026-05-07;;Public;13;26W27;Commercial;8 Weeks
1880442/14000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-04-17;;2026-05-07;;Public;13;26W27;Commercial;8 Weeks
1880442/15000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-04-17;;2026-05-07;;Public;13;26W27;Commercial;8 Weeks
1880442/16000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-04-17;;2026-05-07;;Public;13;26W27;Commercial;8 Weeks
1880442/17000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-11;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/18000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-11;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/19000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-11;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/20000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-11;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/21000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-11;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/22000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-12;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/23000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-12;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/24000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-12;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/25000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-12;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/26000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-12;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/27000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-18;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/28000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-18;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/29000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-27;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/30000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-27;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/31000;P1P1P1;Customer Stock;;2026-02-27;C10. Jacquelin, Estelle;2026-05-27;;2026-06-05;;Public;13;26W27;Commercial;8 Weeks
1880442/32000;P1P1P1;Customer Stock;;2026-03-11;C10. Jacquelin, Estelle;2026-06-10;;2026-06-10;;Public;13;26W27;Commercial;8 Weeks
1880478/1000;P1P1P1;Purchase Ordered;;2026-03-06;C26. Bazin, Sandrine;2026-09-28;;2026-10-26;;Public;13;> Q3 2026;Commercial;SDR WF#65488
1880478/2000;P1P1P1;Charges;;;C35. Daligault, Gildas;;;;;Public;13;> Q3 2026;Commercial;SDR WF#65488
1881010/1000;P1P1P1;Purchase Confirmed;;2026-02-24;C25. Bazin, Sandrine;2026-07-31;;2026-08-14;;Public;6;26W33;Commercial;26Weeks
1881017/1000;P1P1P1;Purchase Confirmed;;2026-03-09;C17. Masse, Mickael;2026-07-16;;2026-07-30;;Public;4;26W31;Commercial;SDR WF#65418
1881250/7000;P1P1P1;Purchase Confirmed;;;C02. Jacquelin, Estelle;2026-06-22;;2026-07-08;;Public;4;26W28;Aftermarket;14 Weeks
1881250/8000;P1P1P1;Purchase Confirmed;;;C02. Jacquelin, Estelle;2026-06-22;;2026-07-08;;Public;4;26W28;Aftermarket;14 Weeks
1881250/9000;P1P1P1;Production Planned;;;C02. Jacquelin, Estelle;2026-06-24;;2026-07-08;;Public;4;26W28;Aftermarket;14 Weeks
1881250/10000;P1P1P1;Production Planned;;;C02. Jacquelin, Estelle;2026-06-24;;2026-07-08;;Public;4;26W28;Aftermarket;14 Weeks
1881250/17000;P1P1P1;Production Planned;;;C02. Jacquelin, Estelle;2026-06-24;;2026-07-08;;Public;4;26W28;Aftermarket;14 Weeks
1881250/18000;P1P1P1;Production Planned;;;C02. Jacquelin, Estelle;2026-06-24;;2026-07-08;;Public;4;26W28;Aftermarket;14 Weeks
1881250/24000;P1P1P1;Purchase Confirmed;;;C02. Jacquelin, Estelle;2026-06-23;;2026-07-08;;Public;4;26W28;Aftermarket;14 Weeks
1881250/25000;P1P1P1;Purchase Confirmed;;;C02. Jacquelin, Estelle;2026-07-21;;2026-07-21;;Public;4;26W30;Aftermarket;14 Weeks
1881250/26000;P1P1P1;Purchase Confirmed;;;C02. Jacquelin, Estelle;2026-07-21;;2026-07-21;;Public;4;26W30;Aftermarket;14 Weeks
1881250/27000;P1P1P1;Purchase Confirmed;;;C02. Jacquelin, Estelle;2026-07-21;;2026-07-21;;Public;4;26W30;Aftermarket;14 Weeks
1881250/33000;P1P1P1;Production Released;;;C25. Bazin, Sandrine;2026-06-22;;2026-06-26;;Public;4;26W26;Aftermarket;14 Weeks
1881250/34000;P1P1P1;Production Released;;;C25. Bazin, Sandrine;2026-06-22;;2026-06-26;;Public;4;26W26;Aftermarket;14 Weeks
1881250/35000;P1P1P1;Production Released;;2026-02-27;C25. Bazin, Sandrine;2026-07-03;;2026-07-03;;Public;4;26W27;Aftermarket;14 Weeks
1881250/36000;P1P1P1;Production Released;;2026-02-27;C25. Bazin, Sandrine;2026-07-03;;2026-07-03;;Public;4;26W27;Aftermarket;14 Weeks
1881250/37000;P1P1P1;Production Released;;2026-02-27;C25. Bazin, Sandrine;2026-07-03;;2026-07-03;;Public;4;26W27;Aftermarket;14 Weeks
1881250/38000;P1P1P1;Production Released;;2026-02-27;C25. Bazin, Sandrine;2026-07-03;;2026-07-03;;Public;4;26W27;Aftermarket;14 Weeks
1881250/40000;P1P1P1;Purchase Confirmed;;;C25. Bazin, Sandrine;2026-06-26;;2026-07-03;;Public;4;26W27;Aftermarket;14 Weeks
1881250/41000;P1P1P1;Purchase Confirmed;;;C25. Bazin, Sandrine;2026-06-26;;2026-07-03;;Public;4;26W27;Aftermarket;14 Weeks
1881250/44000;P1P1P1;Production Released;;2026-02-27;C26. Bazin, Sandrine;2026-06-22;;2026-06-29;;Public;4;26W27;Aftermarket;14 Weeks
1881250/46000;P1P1P1;Production Released;;;C26. Bazin, Sandrine;2026-07-03;;2026-07-03;;Public;4;26W27;Aftermarket;14 Weeks
1881250/47000;P1P1P1;Purchase in Transit;;2026-02-27;C26. Bazin, Sandrine;2026-08-14;;2026-08-21;;Public;4;26W34;Aftermarket;14 Weeks
1881250/48000;P1P1P1;Purchase in Transit;;2026-02-27;C26. Bazin, Sandrine;2026-08-14;;2026-08-21;;Public;4;26W34;Aftermarket;14 Weeks
1881250/124000;P1P1P1;Purchase Confirmed;;2026-02-27;C26. Bazin, Sandrine;2026-07-10;;2026-07-17;;Public;4;26W29;Aftermarket;14 Weeks
1881296/1000;P1P1P1;Purchase Confirmed;;2026-02-24;C26. Bazin, Sandrine;2026-06-24;;2026-06-26;;Public;4;26W26;Aftermarket;14 weeks
1881344/1000;P1P1P1;Production Ordered;;;C92. Daligault, Gildas;2026-06-19;;2026-07-17;;Public;4;26W32;Aftermarket;PDRN
1881422/1000;P1P1P1;Shipping;;2026-02-27;C10. Jacquelin, Estelle;2026-05-15;;2026-06-04;;Public;13;26W26;Commercial;16Weeks
1881422/2000;P1P1P1;Shipping;;2026-02-27;C10. Jacquelin, Estelle;2026-06-08;;2026-06-08;;Public;13;26W26;Commercial;16Weeks
1881545/1000;P1P1P1;Purchase Confirmed;;2026-03-16;C10. Jacquelin, Estelle;2026-07-17;;2026-07-17;;Public;13;26W30;Commercial;SDR WF#62385
1881545/2000;P1P1P1;Production Released;;2026-03-16;C10. Jacquelin, Estelle;2026-06-23;;2026-06-23;;Public;13;26W30;Commercial;SDR WF#62385
